id;itens;grupo
67;iluminacao;itens_imovel
67;ar condicionado;itens_imovel
67;quintal;itens_imovel
67;escritorio;itens_imovel
67;churrasqueira;itens_lazer
67;armario;itens_imovel
69;box;itens_imovel
69;armario;itens_imovel
69;banheiro de servico;itens_imovel
69;sacada;itens_imovel
69;sala de estar;itens_imovel
69;iluminacao;itens_imovel
70;quintal;itens_imovel
70;iluminacao;itens_imovel
72;armario;itens_imovel
72;sacada;itens_imovel
72;varanda;itens_imovel
72;elevador;itens_seg_e_cond
72;iluminacao;itens_imovel
74;quintal;itens_imovel
74;churrasqueira;itens_lazer
75;sala de estar;itens_imovel
75;box;itens_imovel
75;sacada;itens_imovel
75;armario;itens_imovel
75;iluminacao;itens_imovel
77;sala de estar;itens_imovel
77;elevador;itens_seg_e_cond
79;ventilador de teto;itens_imovel
79;iluminacao;itens_imovel
79;armario;itens_imovel
79;churrasqueira;itens_lazer
79;quintal;itens_imovel
79;ar condicionado;itens_imovel
79;escritorio;itens_imovel
81;ventilador de teto;itens_imovel
81;box;itens_imovel
81;ar condicionado;itens_imovel
82;churrasqueira;itens_lazer
82;piscina;itens_lazer
82;armario;itens_imovel
82;ar condicionado;itens_imovel
82;mobiliado;itens_imovel
82;varanda;itens_imovel
82;quintal;itens_imovel
83;sala de estar;itens_imovel
83;armario;itens_imovel
83;elevador;itens_seg_e_cond
83;iluminacao;itens_imovel
83;box;itens_imovel
83;ar condicionado;itens_imovel
83;ventilador de teto;itens_imovel
83;sacada;itens_imovel
84;elevador;itens_seg_e_cond
84;varanda;itens_imovel
84;ventilador de teto;itens_imovel
84;sacada;itens_imovel
84;ar condicionado;itens_imovel
84;armario;itens_imovel
84;sala de estar;itens_imovel
84;box;itens_imovel
84;banheiro de servico;itens_imovel
84;iluminacao;itens_imovel
85;box;itens_imovel
85;armario;itens_imovel
85;ar condicionado;itens_imovel
86;ventilador de teto;itens_imovel
86;armario;itens_imovel
86;elevador;itens_seg_e_cond
88;churrasqueira;itens_lazer
88;armario;itens_imovel
88;quintal;itens_imovel
88;piscina;itens_lazer
88;lavabo;itens_imovel
88;box;itens_imovel
88;ar condicionado;itens_imovel
90;armario;itens_imovel
90;ventilador de teto;itens_imovel
90;quintal;itens_imovel
