post_id,ticker,dividendo,yeld,media_yield_3m,soma_yield_3m,media_yield_6m,soma_yield_6m,media_yield_12m,soma_yield_12m,variacao_cotacao_mes,rentabilidade,rentabilidade_mes,cotacao_fechamento,soma_yield_ano_corrente,ano,vpa_yield,vpa,vpa_change,pl,vpa_rent,vpa_rent_m,yield_vpa_3m_sum,yield_vpa_3m,yield_vpa_6m_sum,yield_vpa_6m,yield_vpa_12m_sum,yield_vpa_12m,setor,setor_slug,valor,liquidezmediadiaria,patrimonio,pvp,p_vpa,post_title,ativos,volatility,numero_cotista,tx_gestao,tx_admin,tx_performance,scraping_date,ingestion_timestamp
4125,PLAG11,0.4800,0.8200,0.9100,2.7300,0.9450,5.6700,1.0033,12.0400,13.3592,20.9900,14.2888,58.3800,1.7500,2026,,,,,,,,,,,,,Indefinido,indefinido,62,9867246.61,336653760.37,0.9751,,PLAG11,12,1311.9949227119,14697,,1,,2026-02-13,2026-02-13 20:07:10.248417
489,PLCA11,1.0500,1.2800,1.3567,4.0700,1.4033,8.4200,1.3600,16.3200,13.1756,19.0216,14.6243,82.2900,2.6600,2026,1.0437,95.8100,0.0000,53366152.7500,0.0000,0.0000,3.1238,1.0413,5.2136,0.8689,10.6717,0.8893,Indefinido,indefinido,78.73,116061.13,53366152.75,0.83,0.8217305082976725,PLCA11,0,1537.8930735527,2508,,1.15,10,2026-02-13,2026-02-13 20:07:10.248417
423,PLCR11,5.2325,0.0000,0.0000,0.0000,0.0000,0.0000,0.4917,5.9000,0.0000,,0.0000,,8.4800,2025,1.0791,83.4000,-8.0384,175914246.1500,2.3244,-7.0460,3.0519,1.0173,5.9558,0.9926,11.2415,0.9368,Papéis,papeis,78.2,864020,175914246.15,0.9376,0.9376498800959232,PLCR11,1,1528.9694730761,14034,,1.20,,2026-02-13,2026-02-13 20:07:10.248417
344,PLOG11,0.7000,0.9900,1.0167,3.0500,1.0167,6.1000,1.0108,12.1300,2.0127,0.5538,3.0226,70.9600,4.0900,2023,0.7471,100.3948,-0.0245,75296076.0900,8.7653,0.7224,2.2411,0.7470,4.4831,0.7472,,,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,66.71,70165.04,79648071.76,0.629,0.6644766462007992,PLOG11,1,16.625047460129,3284,,,,2026-02-13,2026-02-13 20:07:10.248417
429,PLRI11,0.2515,2.1400,0.7133,2.1400,0.3567,2.1400,0.2967,3.5600,-6.1551,-4.1468,-4.1468,11.7400,2.1400,2026,0.7488,14.6900,-54.3221,14020160.4900,-60.8540,-53.9801,11.6273,3.8758,22.0629,3.6772,37.4708,3.1226,Papéis,papeis,6.03,3310.68,13782851.68,0.5208,0.4104833219877468,PLRI11,1,8345.3747602761,810,,,,2026-02-13,2026-02-13 20:07:10.248417
2847,PMFO11,0.8400,0.0000,0.9500,0.9500,0.9500,0.9500,0.3275,3.9300,0.0000,,0.0000,,0.0000,2026,,,,,,,,,,,,,Misto,misto,91.09,74989.75,89730578.08,1.0043,,PMFO11,14,4491.9358185629,197,,,,2026-02-13,2026-02-13 20:07:10.248417
2966,PMIS11,0.0920,1.0800,1.1933,3.5800,1.1950,7.1700,1.2325,14.7900,-3.7457,12.0500,-2.7062,8.4800,2.3900,2026,,,,,,,,,,,,,Misto,misto,8.33,228657.17,139542314.39,0.8901,,PMIS11,14,2061.7984314727,6702,,1.1,20,2026-02-13,2026-02-13 20:07:10.248417
5396,PMLL11,1.0000,0.9400,0.8667,2.6000,0.8650,5.1900,0.8700,10.4400,1.0452,5.3541,1.9951,106.3400,1.7600,2026,,,,,,,,,,,,,Shoppings,shoppings,106.58,5040094.96,1640312267.29,0.9041,,PMLL11,11,948.86589946661,126272,,0.5,,2026-02-13,2026-02-13 20:07:10.248417
2810,PNCR11,46.0921,0.0000,0.0000,0.0000,0.0000,0.0000,0.1717,2.0600,0.0000,,0.0000,,12.8400,2025,,,,,,,,,,,,,Imóveis Residenciais,imoveis-residenciais,45.2,350700,23037047.12,0.9811,,PNCR11,14,6941.8836649897,112,,,,2026-02-13,2026-02-13 20:07:10.248417
272,PNDL11,3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,2024,,,,,,,,,,,,,Fundo de Desenvolvimento,fundo-de-desenvolvimento,1200,38680800,145021247.08,1.1943,,PNDL11,14,3798.8377302536,50,,,,2026-02-13,2026-02-13 20:07:10.248417
124,PNPR11,19.0500,25.2300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,75.5000,25.2300,2024,,,,,,,,,,,,,Fundo de Desenvolvimento,fundo-de-desenvolvimento,48,5000064,32692830.57,1.3172,,PNPR11,1,1214.3203434396,16,,,,2026-02-13,2026-02-13 20:07:10.248417
2840,PNRC11,0.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0950,1.1400,0.0000,,0.0000,,0.0000,2026,,,,,,,,,,,,,Indefinido,indefinido,61,61,4196318.25,5.9629,,PNRC11,14,8774.3474603121,103,,,,2026-02-13,2026-02-13 20:07:10.248417
300,PORD11,0.1000,1.2200,1.2433,3.7300,1.2517,7.5100,1.2242,14.6900,0.7362,4.2632,1.9652,8.2100,2.4700,2026,1.0692,9.5400,-90.2752,355626443.7000,-89.1112,-90.1713,3.1579,1.0526,6.1056,1.0176,11.6861,0.9738,Papéis,papeis,8.11,938402.74,355626443.7,0.848,0.850104821802935,PORD11,1,1170.1789269072,46605,,0.9,15,2026-02-13,2026-02-13 20:07:10.248417
3028,PPEI11,4.2500,5.0000,1.6667,5.0000,0.8333,5.0000,1.2500,10.0000,-0.0941,25.0953,4.9012,84.9400,10.0000,2025,,,,,,,,,,,,,Indefinido,indefinido,82.15,328851.09,0,0,,PPEI11,,3094.3520365356,0,1,0.10,,2026-02-13,2026-02-13 20:07:10.248417
441,PQAG11,0.4800,0.8700,0.8633,2.5900,0.7150,4.2900,0.8075,9.6900,-1.5456,2.3553,-0.6890,55.4200,1.7200,2026,0.8656,55.4500,-3.1610,775814389.2100,7.3023,-2.3227,2.5784,0.8595,5.1260,0.8543,10.0531,0.8378,Imóveis Industriais e Logísticos,imoveis-industriais-e-logisticos,55.64,2624.95,775528672.25,0.9874,1.0034265103697024,PQAG11,1,4531.2742341377,483,,0.20,,2026-02-13,2026-02-13 20:07:10.248417
196,PQDP11,14.9050,0.6500,0.7000,2.1000,0.7083,4.2500,0.8492,10.1900,-1.7876,-6.4232,-1.1492,2307.0100,1.4000,2026,40.9872,42.8300,-98.6332,638058845.1000,-98.1371,-98.0730,42.0658,14.0219,43.8123,7.3020,47.4494,3.9541,Shoppings,shoppings,2325.16,516019.83,635110455.63,53.9526,54.28811580667756,PQDP11,1,1854.7582207648,3166,,0.23,,2026-02-13,2026-02-13 20:07:10.248417
4220,PRIF11,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9967,2.9900,0.0000,,0.0000,,2.9900,2025,,,,,,,,,,,,,Indefinido,indefinido,103.45,70087.9,0,0,,PRIF11,,9410.2446399964,0,,,,2026-02-13,2026-02-13 20:07:10.248417
397,PRSV11,14.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,,0.0000,2020,0.4448,364.2296,-0.0308,71024775.3100,-3.8098,0.4138,1.5262,0.5087,2.6527,0.4421,5.7282,0.4774,Lajes Corporativas,lajes-corporativas,34,481.76,29576576.23,0.3024,0.09334771254175937,PRSV11,1,10029.307019645,790,,0.375,,2026-02-13,2026-02-13 20:07:10.248417
314,PRTS11,0.0549,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,9827.8200,0.0000,2022,,,,,,,,,,,,,Shoppings,shoppings,17396.42,3880575023.7,118155565.38,272.6284,,PRTS11,14,19.795499135202,8102,,,,2026-02-13,2026-02-13 20:07:10.248417
