id;itens
60; 'cameras de seguranca'
60; 'fitness'
60; 'cerca eletrica'
62; 'elevador social: 1'
62; 'salao de festa'
62; 'elevador de servico: 1'
62;'torre(s): 1'
62; 'piscina adulto'
62; 'portaria: 24hrs.'
62; 'gas encanado'
63;'portao eletronico'
65; 'salao de jogos'
65; 'portaria: 24hrs.'
65; 'piscina adulto'
65; 'cerca eletrica'
65; 'espaco kids'
65; 'salao de festa'
65; 'elevador social: 4'
65; 'cameras de seguranca'
65; 'churrasqueira'
65; 'torre(s): 1'
65; 'fitness'
65; 'quadra poliesportiva'
65; 'playground'
65; 'gas encanado'
65; 'medidor de agua individual'
65;'apartamento por andar: 8'
65; 'espaco gourmet'
65; 'quantidade de andares: 24'
65; 'sauna'
65; 'elevador de servico: 2'
65; 'portao eletronico'
65; 'piscina infantil'
67;'portaria: 24hrs.'
70; 'bicicletario'
70; 'piscina infantil'
70; 'elevador social: 1'
70;'campo de futebol'
70; 'car wash'
70; 'cameras de seguranca'
70; 'quadra poliesportiva'
70; 'elevador de servico: 1'
70; 'churrasqueira'
70; 'piscina adulto'
70; 'portaria: 24hrs.'
70; 'salao de festa'
70; 'fitness'
70; 'gas encanado'
70; 'espaco gourmet'
72; 'medidor de agua individual'
72; 'sauna'
72; 'fitness'
72;'churrasqueira'
72; 'quadra poliesportiva'
72; 'espaco gourmet'
72; 'piscina adulto'
72; 'cameras de seguranca'
72; 'salao de festa'
72; 'portaria: 24hrs.'
72; 'playground'
72; 'cerca eletrica'
72; 'piscina infantil'
74; 'playground'
74; 'gas encanado'
74;'apartamento por andar: 8'
74; 'pista de caminhada'
74; 'churrasqueira'
74; 'portaria: 24hrs.'
74; 'piscina infantil'
74; 'torre(s): 79'
74; 'piscina adulto'
74; 'salao de festa'
74; 'espaco kids'
74; 'quantidade de andares: 3'
74; 'campo de futebol'
74; 'portao eletronico'
75;'portaria: 24hrs.'
76; 'piscina adulto'
76;'apartamento por andar: 4'
76; 'quadra poliesportiva'
76; 'espaco gourmet'
76; 'portaria: 24hrs.'
76; 'torre(s): 4'
76; 'salao de jogos'
76; 'quantidade de andares: 10'
76; 'churrasqueira'
76; 'elevador de servico: 1'
76; 'elevador social: 2'
76; 'cameras de seguranca'
76; 'cerca eletrica'
76; 'salao de festa'
76; 'playground'
76; 'fitness'
76; 'gas encanado'
76; 'portao eletronico'
76; 'sauna'
76; 'jacuzzi'
76; 'piscina infantil'
79; 'salao de festa'
79; 'elevador social: 1'
79; 'gas encanado'
79; 'cameras de seguranca'
79; 'portaria: 24hrs.'
79; 'portao eletronico'
79; 'piscina adulto'
79;'apartamento por andar: 8'
79; 'torre(s): 2'
79; 'churrasqueira'
79; 'elevador de servico: 1'
79; 'cerca eletrica'
79; 'playground'
84; 'quadra poliesportiva'
84;'campo de futebol'
84; 'playground'
84; 'piscina infantil'
84; 'cameras de seguranca'
84; 'salao de festa'
84; 'portaria: 24hrs.'
84; 'piscina adulto'
84; 'quadra tenis'
84; 'cerca eletrica'
86; 'salao de jogos'
86; 'salao de festa'
86; 'medidor de agua individual'
86; 'cameras de seguranca'
86; 'car wash'
86; 'espaco gourmet'
86; 'cerca eletrica'
86; 'cinema'
86; 'espaco mulher'
86; 'churrasqueira'
86; 'piscina infantil'
86; 'elevador de servico: 2'
86; 'elevador social: 2'
86; 'playground'
86; 'fitness'
86; 'spa'
86; 'quadra poliesportiva'
86; 'piscina adulto'
86; 'espaco kids'
86; 'portaria: 24hrs.'
86;'campo de futebol'
87; 'elevador de servico: 2'
87; 'elevador social: 2'
87; 'portaria: 24hrs.'
87;'apartamento por andar: 4'
87; 'quantidade de andares: 10'
94; 'portaria: 24hrs.'
94; 'playground'
94; 'gerador'
94; 'piscina infantil'
94; 'fitness'
94; 'cameras de seguranca'
94;'espaco gourmet'
94; 'elevador de servico: 1'
94; 'bicicletario'
94; 'medidor de agua individual'
95; 'torre(s): 2'
95; 'piscina infantil'
95; 'portaria: 24hrs.'
95; 'elevador de servico: 1'
95; 'campo de futebol'
95; 'piscina adulto'
95; 'elevador social: 1'
95; 'cameras de seguranca'
95; 'espaco gourmet'
95; 'bicicletario'
95; 'sauna'
95; 'spa'
95;'quantidade de andares: 24'
95; 'fitness'
95; 'salao de festa'
95; 'playground'
95; 'portao eletronico'
95; 'espaco kids'
95; 'salao de jogos'
95; 'gas encanado'
95; 'car wash'
95; 'quadra poliesportiva'
95; 'churrasqueira'
95; 'medidor de agua individual'
98; 'piscina adulto'
98; 'portao eletronico'
98; 'piscina infantil'
98; 'campo de futebol'
98; 'quantidade de andares: 3'
98; 'playground'
98; 'pista de caminhada'
98;'apartamento por andar: 8'
98; 'portaria: 24hrs.'
98; 'churrasqueira'
98; 'torre(s): 79'
98; 'espaco kids'
98; 'salao de festa'
